company,director,genre,name
Twentieth Century Fox Film Corporation,Renny Harlin,Action,Die Hard 2
Touchstone Pictures,Warren Beatty,Action,Dick Tracy
Columbia Pictures Corporation,Penny Marshall,Biography,Awakenings
Castle Rock Entertainment,Harry Hook,Adventure,Lord of the Flies
Universal Pictures,Dennis Dugan,Comedy,Problem Child
Don Simpson/Jerry Bruckheimer Films,Tony Scott,Action,Days of Thunder
Universal Pictures,John Waters,Comedy,Cry-Baby
Universal Pictures,Robert Zemeckis,Adventure,Back to the Future Part III
United Artists,John G. Avildsen,Drama,Rocky V
Imagine Entertainment,Ivan Reitman,Comedy,Kindergarten Cop
Davis Entertainment,Stephen Hopkins,Action,Predator 2
Warner Bros.,George Miller,Adventure,The NeverEnding Story II: The Next Chapter
Orion Pictures,Irvin Kershner,Action,RoboCop 2
Circle Films,Joel Coen,Crime,Miller's Crossing
Nicolas Entertainment,Jeff Burr,Horror,Leatherface: Texas Chainsaw Massacre III
Twentieth Century Fox Film Corporation,Renny Harlin,Action,The Adventures of Ford Fairlane
Gaumont,Luc Besson,Action,La Femme Nikita
Renaissance Pictures,Sam Raimi,Action,Darkman
Warner Bros.,Alan J. Pakula,Mystery,Presumed Innocent
Warner Bros.,Joe Dante,Comedy,Gremlins 2: The New Batch
Morgan Creek Productions,Clive Barker,Action,Nightbreed
Orion Pictures,Richard Benjamin,Comedy,Mermaids
21st Century Film Corporation,Tom Savini,Horror,Night of the Living Dead
Paramount Pictures,John Harrison,Comedy,Tales from the Darkside: The Movie
Cinehaus,Phil Joanou,Action,State of Grace
Imperial Entertainment Corporation,Sheldon Lettich,Action,Lionheart
New World Pictures,Tony Scott,Action,Revenge
TriStar Pictures,Amy Heckerling,Comedy,Look Who's Talking Too
Warner Bros.,Bruce Malmuth,Action,Hard to Kill
Fugitive TV Productions,Peter Medak,Biography,The Krays
Morgan Creek Productions,William Peter Blatty,Drama,The Exorcist III
Orion Pictures,Dennis Hopper,Crime,The Hot Spot
Universal Pictures,Philip Kaufman,Biography,Henry & June
Paramount Pictures,Ralph S. Singleton,Horror,Graveyard Shift
Reteitalia,Abel Ferrara,Crime,El verdugo de Nueva York
Silver Screen Partners IV,Hendel Butoy,Animation,The Rescuers Down Under
Morgan Creek Productions,Geoff Murphy,Action,Young Guns II
"Hudlin Brothers, The",Reginald Hudlin,Comedy,House Party
Canal+,Franco Zeffirelli,Drama,Hamlet
New Line Cinema,Allan Moyle,Comedy,Pump Up the Volume
Lightning Pictures,Mark L. Lester,Action,Class of 1999
Victor & Grais,Dwight H. Little,Action,Marked for Death
Carolco Pictures,Roger Spottiswoode,Action,Air America
Warner Bros.,Clint Eastwood,Action,The Rookie
Paramount Pictures,Mike Figgis,Crime,Internal Affairs
Brandenberg,Tom Stoppard,Comedy,Rosencrantz & Guildenstern Are Dead
Orion Pictures,Lewis Teague,Action,Navy Seals
Pathé Entertainment,Simon Wincer,Action,Quigley Down Under
Morgan Creek Productions,John Schlesinger,Thriller,Pacific Heights
Warner Bros.,Brian De Palma,Comedy,The Bonfire of the Vanities
Ironbark Films,John Cornell,Comedy,Almost an Angel
Warner Bros.,Akira Kurosawa,Drama,Dreams
Palace Pictures,Richard Stanley,Sci-Fi,Hardware
Disney Television Animation,Bob Hathcock,Animation,DuckTales the Movie: Treasure of the Lost Lamp
Universal Pictures,Luis Mandoki,Drama,White Palace
Enigma Productions,Michael Caton-Jones,Action,Memphis Belle
Vision PDG,Craig R. Baxley,Action,Dark Angel
Tristes Tropiques,George Armitage,Comedy,Miami Blues
Universal Pictures,John Badham,Action,Bird on a Wire
Erre Produzioni,Paul Schrader,Drama,The Comfort of Strangers
Dino De Laurentiis Company,Michael Cimino,Action,Desperate Hours
Paramount Pictures,Walter Hill,Action,Another 48 Hrs.
Epic Productions,Emilio Estevez,Action,Men at Work
Touchstone Pictures,Emile Ardolino,Comedy,3 Men and a Little Lady
Columbia Pictures Corporation,Mike Nichols,Comedy,Postcards from the Edge
Devoted Productions,Howard Franklin,Comedy,Quick Change
Hawn / Sylbert Movie Company,Herbert Ross,Comedy,My Blue Heaven
TriStar Pictures,Andrew Bergman,Comedy,The Freshman
Cineplex-Odeon Films,Stephen Frears,Crime,The Grifters
88 Productions,Jack Nicholson,Crime,The Two Jakes
Cannon Films,Deran Sarafian,Action,Death Warrant
Caméra One,Jean-Paul Rappeneau,Biography,Cyrano de Bergerac
Sovereign Pictures,Barbet Schroeder,Biography,Reversal of Fortune
Chestnut Hill Productions,Lawrence Kasdan,Comedy,I Love You to Death
Levins-Henenlotter,Frank Henenlotter,Comedy,Frankenhooker
Concorde Pictures,Mark Griffiths,Action,A Cry in the Wild
Granada Television,Jim Sheridan,Drama,The Field
Laurence Mark Productions,James Orr,Comedy,Mr. Destiny
Pathé Entertainment,Fred Schepisi,Drama,The Russia House
New Line Cinema,James D. Parriott,Comedy,Heart Condition
Touchstone Pictures,Peter Weir,Comedy,Green Card
Universal Pictures,Spike Lee,Drama,Mo' Better Blues
In-Gear Film,Kar-Wai Wong,Crime,Days of Being Wild
Metro-Goldwyn-Mayer (MGM),Martin Ritt,Drama,Stanley & Iris
Nova International Films,David Green,Action,Fire Birds
Epic Productions,Curtis Hanson,Drama,Bad Influence
Hollywood Pictures,Arthur Hiller,Comedy,Taking Care of Business
British Screen Productions,Mike Leigh,Comedy,Life Is Sweet
British Broadcasting Corporation (BBC),Anthony Minghella,Comedy,Truly Madly Deeply
Recorded Picture Company (RPC),Bernardo Bertolucci,Adventure,The Sheltering Sky
Kanoon,Abbas Kiarostami,Biography,Close-Up
Mirage Enterprises,Sydney Pollack,Drama,Havana
Incorporated Television Company (ITC),Jim Abrahams,Comedy,"Welcome Home, Roxy Carmichael"
Lambart Productions,Patrice Leconte,Comedy,The Hairdresser's Husband
Carolco Pictures,Bob Logan,Comedy,Repossessed
60/80 Productions,Franco Amurri,Action,Flashback
Orion Pictures,Roger Donaldson,Comedy,Cadillac Man
Cannon Group,Cedric Sundstrom,Action,American Ninja 4: The Annihilation
ADC Films,Dario Argento,Horror,Two Evil Eyes
Orion Pictures,Woody Allen,Comedy,Alice
